"len_min","len_max","diam_min","diam_max","hei_min","hei_max","whole_w_min","whole_w_max","shucked_w_min","shucked_w_max","viscera_w_min","viscera_w_max","shell_w_min","shell_w_max"
0.275,0.66,0.195,0.475,0.07,0.18,0.08,1.3695,0.031,0.641,0.021,0.294,0.025,0.335
0.305,0.745,0.225,0.58,0.015,1.13,0.1485,2.25,0.0585,1.1565,0.026,0.446,0.045,0.558
0.345,0.78,0.26,0.63,0.065,0.23,0.205,2.657,0.0745,1.488,0.037,0.5265,0.07,0.726
0.39,0.815,0.3,0.65,0.1,0.25,0.265,2.5085,0.1075,1.232,0.046,0.519,0.0865,0.7975
0.395,0.745,0.315,0.6,0.105,0.24,0.3515,2.1995,0.1185,0.8435,0.091,0.4805,0.1195,1.005
0.45,0.8,0.38,0.63,0.135,0.225,0.64,2.526,0.158,0.933,0.11,0.59,0.24,0.71
0.49,0.725,0.365,0.58,0.125,0.21,0.6835,2.124,0.165,0.815,0.129,0.453,0.205,0.85
0.55,0.7,0.465,0.585,0.18,0.215,1.2125,1.8075,0.3245,0.7055,0.205,0.3215,0.475,0.525
0.075,0.24,0.055,0.175,0.01,0.065,0.002,0.0665,0.001,0.031,5e-04,0.0135,0.0015,0.017
0.13,0.58,0.095,0.45,0,0.15,0.0105,0.8915,0.005,0.495,5e-04,0.1925,0.0035,0.3505
0.265,0.67,0.195,0.5,0,0.185,0.084,1.2975,0.0305,0.6035,0.013,0.322,0.025,0.386
0.32,0.66,0.245,0.525,0.08,0.19,0.1585,1.6935,0.0635,0.715,0.0325,0.4005,0.05,0.42
0.335,0.725,0.26,0.55,0.085,0.22,0.174,2.0495,0.0705,0.7735,0.024,0.4405,0.06,0.655
0.44,0.65,0.33,0.525,0.125,0.2,0.435,1.626,0.159,0.6255,0.0705,0.3445,0.1275,0.53
0.45,0.58,0.355,0.445,0.12,0.185,0.412,1.178,0.1145,0.3935,0.0665,0.2165,0.16,0.315
0.155,0.21,0.11,0.15,0.04,0.05,0.0155,0.0385,0.0065,0.0155,0.003,0.0085,0.005,0.01
0.155,0.53,0.115,0.41,0.025,0.155,0.024,0.8085,0.009,0.3205,0.0045,0.1535,0.005,0.35
0.205,0.725,0.155,0.57,0.045,0.205,0.0425,2.3305,0.017,1.253,0.0055,0.541,0.0155,0.52
0.29,0.78,0.225,0.63,0.06,0.515,0.12,2.7795,0.0415,1.3485,0.026,0.76,0.04,0.675
0.35,0.76,0.255,0.605,0.085,0.24,0.2145,2.55,0.1,1.351,0.0465,0.575,0.06,0.76
0.425,0.775,0.315,0.595,0.115,0.24,0.3525,2.8255,0.1135,1.1465,0.0565,0.4755,0.13,0.897
0.49,0.735,0.38,0.59,0.13,0.23,0.573,2.13,0.225,0.8665,0.124,0.49,0.17,0.58
0.515,0.69,0.4,0.54,0.14,0.215,0.7505,1.844,0.2475,0.7425,0.13,0.353,0.255,0.585
0.6,0.665,0.495,0.535,0.195,0.225,1.0575,2.1835,0.384,0.7535,0.19,0.391,0.375,0.885
