"clube","chutes_min","chutes_max","chutes_no_alvo_min","chutes_no_alvo_max","passes_min","passes_max","faltas_min","faltas_max","cartao_amarelo_min","cartao_amarelo_max","cartao_vermelho_min","cartao_vermelho_max","impedimentos_min","impedimentos_max","escanteios_min","escanteios_max","Placar_min","Placar_max","date_min","date_max"
"America-MG",4,24,1,12,218,655,6,25,0,5,0,2,0,5,0,12,0,3,2023-04-15,2023-12-06
"Athletico-PR",3,27,1,9,226,593,9,27,0,6,0,1,0,6,2,14,0,3,2023-04-15,2023-12-06
"Atletico-MG",6,26,1,10,249,601,8,27,0,6,0,1,0,5,0,14,0,4,2023-04-15,2023-12-06
"Bahia",5,28,0,10,272,555,4,28,0,6,0,2,0,8,1,11,0,6,2023-04-15,2023-12-06
"Botafogo-RJ",2,32,0,10,225,604,7,24,0,6,0,1,0,5,1,12,0,4,2023-04-15,2023-12-06
"Bragantino",7,36,2,13,322,624,2,24,0,5,0,2,0,5,2,17,0,4,2023-04-15,2023-12-06
"Corinthians",5,24,1,9,222,700,4,23,0,6,0,1,0,5,0,10,0,4,2023-04-16,2023-12-06
"Coritiba",3,19,0,8,225,518,7,24,0,8,0,1,0,5,0,10,0,4,2023-04-16,2023-12-06
"Cruzeiro",6,27,0,9,264,576,8,26,0,6,0,1,0,5,1,16,0,4,2023-04-16,2023-12-06
"Cuiaba",2,23,0,9,212,553,7,23,0,5,0,1,0,9,0,13,0,3,2023-04-15,2023-12-06
"Flamengo",6,24,0,13,353,716,5,22,0,5,0,2,0,5,0,12,0,4,2023-04-16,2023-12-06
"Fluminense",3,24,0,10,371,733,6,25,1,7,0,2,0,5,0,15,0,5,2023-04-15,2023-12-06
"Fortaleza",6,25,1,18,201,744,8,28,0,6,0,1,0,7,0,11,0,4,2023-04-15,2023-12-06
"Goias",4,22,0,9,231,542,8,24,0,6,0,2,0,6,1,13,0,4,2023-04-15,2023-12-06
"Gremio",3,26,2,11,233,729,5,22,0,5,0,1,0,6,1,12,0,5,2023-04-16,2023-12-06
"Internacional",5,24,0,10,277,744,6,20,0,7,0,1,0,6,1,10,0,7,2023-04-15,2023-12-06
"Palmeiras",8,28,1,12,256,562,8,29,0,6,0,1,0,7,2,15,0,5,2023-04-15,2023-12-06
"Santos",3,27,0,10,221,587,8,23,0,6,0,2,0,5,1,11,0,4,2023-04-16,2023-12-06
"Sao Paulo",3,26,0,11,295,699,7,24,0,6,0,1,0,8,0,12,0,4,2023-04-15,2023-12-06
"Vasco",4,23,1,12,195,572,7,23,0,6,0,2,0,6,0,14,0,5,2023-04-15,2023-12-06
