"imediatas","Pop_estimada_min","Pop_estimada_max","Mortes_acum_min","Mortes_acum_max","Confirmados_acum_min","Confirmados_acum_max","IDHM_min","IDHM_max","Saneamento_min","Saneamento_max","Caduni_min","Caduni_max","Pobres_min","Pobres_max","Taxa_let_min","Taxa_let_max"
"Afogados da Ingazeira",4543,37404,1,26,114,1810,0.574,0.657,0,2.82,784,8579,2544,4801,0.4975124,6.5868263
"Araripina",7537,11270,1,50,99,3042,0.533,0.612,1.27,7.57,811,8676,474,5558,0.729927,4.8449612
"Arcoverde",18661,74822,1,72,72,2849,0.487,0.667,1.53,10.54,6976,9635,288,6321,1.160093,8.730159
"Barreiros - Sirinhaem",21586,46361,18,41,334,521,0.586,0.613,0.49,1.87,7252,8215,3424,4359,4.222649,11.232877
"Belo Jardim - Pesqueira",11305,76687,5,47,112,1792,0.528,0.629,0.84,4.45,7482,8741,371,4844,2.369668,4.464286
"Carpina",13190,84395,9,66,64,997,0.593,0.68,0.28,1,5637,7843,328,3741,4.230769,18.75
"Caruaru",7768,365278,4,389,85,12603,0.53,0.677,0,4.55,777,8802,251,5384,1.565996,7.565789
"Escada - Ribeirao",12560,69292,12,58,122,490,0.568,0.632,0.51,1.06,831,8367,37,4214,5.797101,20.408163
"Garanhuns",7198,140577,2,86,35,4616,0.509,0.664,0.85,8.02,7365,9038,491,5951,0.9603842,7.1428571
"Goiana-Timbauba",8572,80055,8,84,202,2169,0.549,0.651,0.59,2.49,628,8009,389,4874,2.173913,8.910891
"Limoeiro",11068,56198,3,65,109,1190,0.534,0.663,0.46,1.71,7315,8929,2477,4962,2.362205,7.165109
"Palmares",11220,63500,3,74,111,1796,0.53,0.622,0.17,2.26,78,8694,3214,5646,2.173913,6.574394
"Petrolina",15152,354317,3,131,107,10928,0.588,0.697,0.71,3.71,6456,8833,1961,4917,0.3731343,4.6728972
"Recife",20733,1653461,16,2695,197,50801,0.592,0.772,0.56,1.3,719,8302,132,3554,3.563474,12.232677
"Salgueiro",4966,62149,0,50,27,2889,0.595,0.669,2,6.75,741,8234,301,4947,0,7.4074074
"Serra Talhada",5747,86915,2,76,58,6050,0.556,0.67,0.96,7.59,7155,8607,1026,6204,0.7142857,4.040404
"Surubim",7571,65647,2,41,90,1478,0.548,0.635,1.63,8.41,841,8739,275,4408,1.646091,5.217391
"Vitoria de Santo Antao",13556,139583,10,165,224,2426,0.598,0.64,0.59,5.46,7742,8589,2519,4022,3.383897,6.801319
