"min_height","max_height","min_weight","max_weight","min_expectancy","max_expectancy"
22.86,29.21,3.17514659,4.5359237,12,15
63.5,68.58,22.6796185,27.2155422,12,15
60.96,71.12,31.7514659,58.9670081,10,13
58.42,63.5,34.01942775,38.55535145,10,14
50.8,63.5,27.2155422,45.359237,10,12
58.42,66.04,20.41165665,29.48350405,11,12
22.86,48.26,2.72155422,15.87573295,13,15
53.34,63.5,27.2155422,31.7514659,11,13
30.48,40.64,5.44310844,7.25747792,14,16
53.34,68.58,20.41165665,31.7514659,12,15
43.18,48.26,18.1436948,31.7514659,12,16
38.1,45.72,11.33980925,20.41165665,10,14
68.58,73.66,36.2873896,68.0388555,11,13
48.26,55.88,21.77243376,31.7514659,12,15
43.18,50.8,15.87573295,22.6796185,12,16
45.72,58.42,18.1436948,29.48350405,12,15
43.18,50.8,14.51495584,20.41165665,12,15
25.4,27.94,6.80388555,9.0718474,11,15
59.69,73.66,14.96854821,24.94758035,12,15
48.26,62.23,15.87573295,29.48350405,12,14
40.64,43.18,9.97903214,10.88621688,13,14
43.18,52.07,16.78291769,29.93709642,12,15
33.02,38.1,5.89670081,13.6077711,10,15
50.8,55.88,20.41165665,24.94758035,12,14
60.96,69.85,31.7514659,49.8951607,10,12
38.1,44.45,7.71107029,10.43262451,11,16
55.88,66.04,24.94758035,29.48350405,10,12
55.88,66.04,18.1436948,36.2873896,14,16
55.88,66.04,20.41165665,34.01942775,12,14
55.88,66.04,20.41165665,34.01942775,12,14
55.88,59.69,25.85476509,38.10175908,13,15
54.61,64.77,22.6796185,31.7514659,12,13
58.42,69.85,31.7514659,52.16312255,7,10
24.13,29.21,5.44310844,8.16466266,14,15
58.42,68.58,29.48350405,49.8951607,10,12
66.04,76.2,36.2873896,58.9670081,10,12
58.42,68.58,36.2873896,49.8951607,10,12
53.34,68.58,20.41165665,36.2873896,11,12
55.88,68.58,68.0388555,90.718474,9,11
49.022,55.118,16.78291769,27.2155422,12,15
25.4,30.48,2.494758035,4.08233133,12,14
45.72,55.88,13.6077711,24.94758035,12,15
30.48,38.1,5.216312255,7.030681735,12,15
66.04,71.12,27.2155422,47.62719885,9,14
38.1,43.18,5.44310844,11.33980925,11,13
59.69,69.85,31.7514659,49.8951607,10,12
54.61,63.5,6.80388555,36.2873896,10,12
35.56,45.72,11.33980925,18.1436948,10,15
53.34,68.58,24.94758035,40.8233133,10,14
48.26,57.15,15.87573295,24.04039561,10,12
44.45,52.07,13.6077711,18.1436948,12,14
69.85,74.93,40.8233133,68.0388555,8,10
17.78,25.4,3.62873896,4.5359237,12,15
53.34,55.88,22.6796185,31.7514659,12,13
35.56,38.1,18.1436948,22.6796185,8,10
60.96,68.58,45.359237,58.9670081,7,9
24.13,25.4,5.89670081,6.35029318,13,15
48.26,60.96,15.87573295,24.94758035,12,15
26.67,31.75,11.33980925,17.23651006,12,15
55.88,60.96,22.6796185,43.09127515,10,14
58.42,76.2,44.90564463,77.1107029,10,12
30.48,33.02,5.89670081,8.16466266,12,15
25.4,33.02,6.35029318,10.88621688,12,15
53.34,66.04,24.94758035,36.2873896,10,13
27.94,33.02,3.62873896,5.44310844,13,18
45.72,50.8,20.41165665,27.2155422,8,12
55.88,66.04,22.6796185,40.8233133,12,15
43.18,50.8,20.41165665,31.7514659,8,12
41.91,49.53,7.71107029,11.79340162,12,14
43.18,50.8,24.94758035,38.55535145,10,12
34.29,39.37,9.0718474,13.6077711,10,14
55.88,66.04,22.6796185,34.01942775,12,14
22.86,27.94,3.62873896,6.80388555,15,19
40.64,50.8,13.15417873,19.95806428,13,14
58.42,68.58,27.2155422,43.09127515,10,12
59.69,64.77,19.95806428,25.85476509,10,15
12.7,22.86,4.98951607,14.51495584,12,16
48.26,60.96,20.41165665,31.7514659,11,13
20.32,27.94,8.16466266,10.88621688,12,15
31.75,36.83,6.80388555,9.0718474,11,13
45.72,53.34,18.1436948,24.94758035,12,14
60.96,71.12,27.2155422,45.359237,10,12
60.96,67.31,39.91612856,45.359237,9,15
58.42,66.04,44.90564463,49.8951607,5,8
53.34,63.5,21.77243376,33.11224301,11,14
