"Name","Sepal_len_min","Sepal_len_max","Sepal_wid_min","Sepal_wid_max","Petal_len_min","Petal_len_max","Petal_wid_min","Petal_wid_max"
"S1",4.6,5.1,3,3.6,1.3,1.5,0.2,0.2
"S2",4.4,5.4,2.9,3.9,1.4,1.7,0.1,0.4
"S3",4.3,5.8,3,4,1.1,1.6,0.1,0.2
"S4",5.1,5.7,3.5,4.4,1.3,1.7,0.3,0.4
"S5",4.6,5.4,3.3,3.7,1,1.9,0.2,0.5
"S6",4.7,5.2,3,3.5,1.4,1.6,0.2,0.4
"S7",4.8,5.5,3.1,4.2,1.4,1.6,0.1,0.4
"S8",4.4,5.5,3,3.5,1.3,1.5,0.1,0.2
"S9",4.4,5.1,2.3,3.8,1.3,1.9,0.2,0.6
"S10",4.6,5.3,3,3.8,1.4,1.6,0.2,0.3
"Ve1",5.5,7,2.3,3.2,4,4.9,1.3,1.5
"Ve2",4.9,6.6,2.4,3.3,3.3,4.7,1,1.6
"Ve3",5,6.1,2,3,3.5,4.7,1,1.5
"Ve4",5.6,6.7,2.2,3.1,3.9,4.5,1,1.5
"Ve5",5.9,6.4,2.5,3.2,4,4.9,1.2,1.8
"Ve6",5.7,6.8,2.6,3,3.5,5,1,1.7
"Ve7",5.4,6,2.4,3,3.7,5.1,1,1.6
"Ve8",5.5,6.7,2.3,3.4,4,4.7,1.3,1.6
"Ve9",4,6.1,2.3,3,3.3,4.6,1,1.4
"Ve10",4.1,6.2,2.5,3,3,4.3,1.1,1.3
"Vi1",5.8,7.1,2.7,3.3,5.1,6,1.8,2.5
"Vi2",4.9,7.6,2.5,3.6,4.5,6.6,1.7,2.5
"Vi3",5.7,6.8,2.5,3.2,5,5.5,1.9,2.4
"Vi4",6,7.7,2.2,3.8,5,6.9,1.5,2.3
"Vi5",5.6,7.7,2.7,3.3,4.9,6.7,1.8,2.3
"Vi6",6.1,7.2,2.8,3.2,4.8,6,1.6,2.1
"Vi7",6.1,7.9,2.6,3.8,5.1,6.4,1.4,2.2
"Vi8",6,7.7,3,3.4,4.8,6.1,1.8,2.4
"Vi9",5.8,6.9,2.7,3.3,5.1,5.9,1.9,2.5
"Vi10",5,6.7,2.5,3.4,5,5.4,1.8,2.3
