PCapMin,PCapMax,SLenMin,SLenMax,SThicMin,STickMax
5.0,15.0,3.3,9.1,1.4,3.5
7.0,10.0,13.0,15.0,1.6,2.5
4.0,9.0,7.0,10.0,0.9,2.0
6.0,7.0,6.0,10.0,0.6,0.8
7.0,15.0,10.0,20.0,1.0,2.0
6.0,12.0,9.0,17.0,1.0,2.0
2.5,6.5,3.0,6.5,0.3,1.0
4.0,12.0,5.0,15.0,1.0,2.0
3.0,11.0,4.0,15.0,0.5,2.0
8.0,25.0,10.0,20.0,1.5,4.0
4.0,13.0,7.0,11.5,1.0,2.5
6.0,39.0,7.0,16.0,2.0,3.0
5.0,14.0,6.0,12.0,1.5,3.5
5.0,13.0,10.0,22.0,1.5,3.0
8.0,18.0,10.0,25.0,1.0,3.0
4.0,15.0,7.0,11.0,1.0,2.5
3.5,15.0,4.0,18.0,1.0,3.0
3.0,12.0,5.0,18.0,1.0,1.5
4.0,14.0,5.0,15.0,1.0,3.0
5.0,12.0,6.0,10.0,1.0,2.5
5.0,17.0,6.0,18.0,1.0,3.5
5.5,10.0,6.0,13.0,1.2,2.0
5.0,11.0,4.0,11.0,1.0,2.5
