"SIGLA_UF","MEDIA_9_LP_MIN","MEDIA_9_LP_MAX","MEDIA_9_MT_MIN","MEDIA_9_MT_MAX","DISTORCAO_MIN","DISTORCAO_MAX","DSU_MIN","DSU_MAX","MEDIA_INSE_MIN","MEDIA_INSE_MAX","AFD1_MIN","AFD1_MAX"
"AC",214.6,258.4,217.9,258.4,15.8,51.4,30.3,98.9,3.779,4.688,4.6,69.9
"AL",215.5,304.8,213.8,327,0,52.6,40,100,3.77,4.513,10.8,88.4
"AP",216.3,245.2,207.5,235.9,31.2,47.5,73.5,100,3.931,4.704,37.2,81.1
"AM",205.5,254.6,204.3,286.6,17.3,52.7,35.5,100,3.644,4.797,4.7,63.2
"BA",204.2,293.5,198.9,294.6,3.8,67.5,21.4,100,3.897,4.834,1.8,100
"CE",234.1,324.2,228.7,368.2,0,40.1,67.4,100,3.579,4.706,8,91
"ES",236.7,280.7,236.6,291.2,9.8,41.3,92.6,100,4.42,5.265,36.5,95.8
"GO",224.3,309.2,220.2,309.1,0,44.9,56.5,100,4.132,5.383,10.2,79.9
"MA",198,261.7,195.3,258.9,7,62,14.7,100,3.514,4.601,0.6,65.5
"MT",213.2,264.3,211.9,265.6,0,33.5,23.6,100,4.359,5.193,6.6,91.4
"MS",215.4,276,218,280.4,16.1,45.4,72.6,100,4.58,5.194,34.3,91.9
"MG",181.7,288.8,192.9,302.1,0,56.5,24.3,100,3.879,5.423,20.2,100
"PA",204.6,257.4,202.3,254.3,19,80.9,43.2,100,3.626,4.607,13.3,88.4
"PB",213.5,272.1,209.1,282.2,6.7,51.8,65.7,100,3.892,4.744,2.5,86.4
"PR",211.9,287.6,222.8,297.2,2.3,46.5,80,100,4.472,5.588,34.7,94.3
"PE",215.6,290.7,217.3,310.8,2.1,49.7,54.3,100,3.845,4.88,6.7,75
"PI",205.1,284.3,207.7,287.5,0,64.2,46.6,100,3.643,4.453,6.2,73.6
"RJ",227,280.1,226.5,275.3,15.3,49.8,82.5,100,4.621,5.3,43.1,93.2
"RN",210.7,282.8,204.8,296.6,0,70.6,57.6,100,3.964,4.799,3,90.6
"RS",204.3,297.4,202.4,312.2,0,53.3,68.6,100,4.589,5.952,30.5,90
"RO",230.2,270.4,228.2,274.3,13.3,42.3,69.1,100,4.462,4.973,23.5,76.3
"RR",210.9,233.7,211.3,232.4,31.4,41.3,66.2,98.2,3.974,4.487,23.1,62.4
"SC",226.7,291.6,223.6,295.6,0,41.5,61.9,100,4.912,5.948,28,90.9
"SP",215.6,316.1,218.9,322.4,0,34.4,69,100,4.439,5.786,37.5,100
"SE",209.2,257.5,217.5,252.8,20,54.8,84.2,100,3.861,4.566,19.3,81.5
"TO",205.7,264.5,181.8,263.1,8.8,47.7,49.5,100,3.954,4.93,3.1,79.2
