Umin,Umax,Emin,Emax
3,49,0,4
1,6,0,2
2,147,2,34
3,61,5,22
4,16,0,15
1,108,23,47
1,18,1,7
1,19,1,11
0,156,3,34
2,69,3,25
0,63,0,22
1,320,29,58
2,162,22,36
8,27,12,32
1,61,0,9
0,10,0,3
1,325,6,32
2,88,2,25
2,80,1,25
1,327,11,57
0,123,23,35
1,52,1,7
1,36,0,9
1,13,0,1
1,101,0,33
0,96,0,25
1,21,1,27
1,265,8,52
3,26,20,37
3,6,0,8
2,3,0,4
2,97,10,28
7,13,4,10
4,98,30,51
20,38,25,39
2,20,0,9
4,14,1,9
1,194,0,31
4,133,3,23
6,65,4,16
1,244,22,57
2,65,25,50
7,44,28,40
1,33,0,18
1,15,1,4
1,97,1,35
1,46,0,21
2,100,2,14
0,159,15,52
9,35,20,40
9,19,31,36
1,35,0,10
4,63,1,6
0,157,4,35
1,21,7,24
4,18,5,20
1,274,26,56
11,26,28,42
